trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.01, 'e': 0.3362164937067333}",25,3,-116.95378778333044,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 2}",1
111,False,"{'a': 0.01, 'e': 0.33287108369807955}",30,0,-112.26714202062982,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
112,False,"{'a': 0.01, 'e': 0.32955896107518906}",20,13,-9.437115677575132,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.32627979462303947}",30,0,-86.64207265446016,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
114,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,5,-16.494839090350577,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.31981902181630384}",20,4,-0.7359485211456502,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.31663676937905316}",20,12,12.87826441295845,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3134861808826053}",25,0,23.371650067788934,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.01, 'e': 0.31036694126548503}",30,0,-67.301882201902,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
119,False,"{'a': 0.01, 'e': 0.30727873860113125}",30,14,-35.46929379076171,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.3042212640667041}",20,0,-18.089433902326284,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
121,False,"{'a': 0.01, 'e': 0.30119421191220214}",20,0,-31.39420499468944,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.2981972794298874}",20,0,1.3041107732881603,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.2952301669240142}",30,0,-99.24126581769855,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
124,False,"{'a': 0.01, 'e': 0.2922925776808594}",30,0,-21.46925930508887,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
125,False,"{'a': 0.01, 'e': 0.2893842179390506}",30,8,-37.84715183943392,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2865047968601901}",25,0,9.380370179530196,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.2836540264997704}",30,7,6.787071876470769,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2808316217783798}",25,0,12.149782581444871,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.01, 'e': 0.27803730045319414}",20,0,-118.70582698388664,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
130,False,"{'a': 0.01, 'e': 0.27527078308975234}",20,8,-36.548992518849836,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.01, 'e': 0.2725317930340126}",25,0,-45.529289760043525,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
132,False,"{'a': 0.01, 'e': 0.2698200563846868}",25,20,9.934307102407711,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
